bowtie2_Mutect2	bowtie2_TNscope	bwa_Mutect2	bwa_TNscope	dragmap_Mutect2	dragmap_TNscope	hisat2_Mutect2	hisat2_TNscope	Total_Variants	TP	Recall	Precision	F1score
1	1	0	0	1	0	1	1	601	451	0.8367346938775511	0.7504159733777038	0.7912280701754385
1	1	0	0	0	1	1	1	599	450	0.8348794063079777	0.7512520868113522	0.7908611599297012
1	0	1	1	1	1	0	0	698	503	0.9332096474953617	0.7206303724928367	0.8132578819725141
1	0	1	1	1	0	1	0	655	478	0.8868274582560297	0.7297709923664122	0.8006700167504188
1	0	1	1	1	0	0	1	606	453	0.8404452690166976	0.7475247524752475	0.7912663755458516
1	0	1	1	0	1	1	0	654	478	0.8868274582560297	0.7308868501529052	0.8013411567476949
1	0	1	1	0	1	0	1	606	453	0.8404452690166976	0.7475247524752475	0.7912663755458516
1	0	1	1	0	0	1	1	602	452	0.8385899814471243	0.7508305647840532	0.7922874671340929
1	0	1	0	1	1	1	0	655	478	0.8868274582560297	0.7297709923664122	0.8006700167504188
1	0	1	0	1	1	0	1	607	453	0.8404452690166976	0.7462932454695222	0.7905759162303665
1	0	1	0	1	0	1	1	605	453	0.8404452690166976	0.7487603305785124	0.7919580419580419
1	0	1	0	0	1	1	1	603	452	0.8385899814471243	0.7495854063018242	0.7915936952714536
1	0	0	1	1	1	1	0	654	478	0.8868274582560297	0.7308868501529052	0.8013411567476949
1	0	0	1	1	1	0	1	606	453	0.8404452690166976	0.7475247524752475	0.7912663755458516
1	0	0	1	1	0	1	1	602	452	0.8385899814471243	0.7508305647840532	0.7922874671340929
1	0	0	1	0	1	1	1	602	452	0.8385899814471243	0.7508305647840532	0.7922874671340929
1	0	0	0	1	1	1	1	603	452	0.8385899814471243	0.7495854063018242	0.7915936952714536
0	1	1	1	1	1	0	0	674	489	0.9072356215213359	0.7255192878338279	0.806265457543281
0	1	1	1	1	0	1	0	633	469	0.8701298701298701	0.740916271721959	0.8003412969283278
0	1	1	1	1	0	0	1	610	451	0.8367346938775511	0.739344262295082	0.7850304612706702
0	1	1	1	0	1	1	0	633	469	0.8701298701298701	0.740916271721959	0.8003412969283278
0	1	1	1	0	1	0	1	610	451	0.8367346938775511	0.739344262295082	0.7850304612706702
0	1	1	1	0	0	1	1	600	450	0.8348794063079777	0.75	0.7901668129938542
0	1	1	0	1	1	1	0	634	469	0.8701298701298701	0.7397476340694006	0.7996589940323954
0	1	1	0	1	1	0	1	611	451	0.8367346938775511	0.7381342062193126	0.7843478260869566
0	1	1	0	1	0	1	1	603	451	0.8367346938775511	0.7479270315091211	0.7898423817863398
0	1	1	0	0	1	1	1	601	450	0.8348794063079777	0.7487520798668885	0.7894736842105263
0	1	0	1	1	1	1	0	633	469	0.8701298701298701	0.740916271721959	0.8003412969283278
0	1	0	1	1	1	0	1	610	451	0.8367346938775511	0.739344262295082	0.7850304612706702
0	1	0	1	1	0	1	1	600	450	0.8348794063079777	0.75	0.7901668129938542
0	1	0	1	0	1	1	1	603	450	0.8348794063079777	0.746268656716418	0.788091068301226
0	1	0	0	1	1	1	1	601	450	0.8348794063079777	0.7487520798668885	0.7894736842105263
0	0	1	1	1	1	1	0	659	478	0.8868274582560297	0.7253414264036419	0.7979966611018364
0	0	1	1	1	1	0	1	617	453	0.8404452690166976	0.7341977309562399	0.7837370242214533
0	0	1	1	1	0	1	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
0	0	1	1	0	1	1	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
0	0	1	0	1	1	1	1	606	452	0.8385899814471243	0.7458745874587459	0.7895196506550218
0	0	0	1	1	1	1	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
1	1	1	1	1	1	0	0	664	489	0.9072356215213359	0.7364457831325302	0.8129675810473816
1	1	1	1	1	0	1	0	630	469	0.8701298701298701	0.7444444444444445	0.8023952095808383
1	1	1	1	1	0	0	1	602	451	0.8367346938775511	0.7491694352159468	0.7905346187554776
1	1	1	1	0	1	1	0	630	469	0.8701298701298701	0.7444444444444445	0.8023952095808383
1	1	1	1	0	1	0	1	602	451	0.8367346938775511	0.7491694352159468	0.7905346187554776
1	1	1	1	0	0	1	1	598	450	0.8348794063079777	0.7525083612040134	0.79155672823219
1	1	1	0	1	1	1	0	631	469	0.8701298701298701	0.7432646592709984	0.8017094017094016
1	1	1	0	1	1	0	1	603	451	0.8367346938775511	0.7479270315091211	0.7898423817863398
1	1	1	0	1	0	1	1	601	451	0.8367346938775511	0.7504159733777038	0.7912280701754385
1	1	1	0	0	1	1	1	599	450	0.8348794063079777	0.7512520868113522	0.7908611599297012
1	1	0	1	1	1	1	0	630	469	0.8701298701298701	0.7444444444444445	0.8023952095808383
1	1	0	1	1	1	0	1	602	451	0.8367346938775511	0.7491694352159468	0.7905346187554776
1	1	0	1	1	0	1	1	598	450	0.8348794063079777	0.7525083612040134	0.79155672823219
1	1	0	1	0	1	1	1	598	450	0.8348794063079777	0.7525083612040134	0.79155672823219
1	1	0	0	1	1	1	1	599	450	0.8348794063079777	0.7512520868113522	0.7908611599297012
1	0	1	1	1	1	1	0	654	478	0.8868274582560297	0.7308868501529052	0.8013411567476949
1	0	1	1	1	1	0	1	606	453	0.8404452690166976	0.7475247524752475	0.7912663755458516
1	0	1	1	1	0	1	1	602	452	0.8385899814471243	0.7508305647840532	0.7922874671340929
1	0	1	1	0	1	1	1	602	452	0.8385899814471243	0.7508305647840532	0.7922874671340929
1	0	1	0	1	1	1	1	603	452	0.8385899814471243	0.7495854063018242	0.7915936952714536
1	0	0	1	1	1	1	1	602	452	0.8385899814471243	0.7508305647840532	0.7922874671340929
0	1	1	1	1	1	1	0	633	469	0.8701298701298701	0.740916271721959	0.8003412969283278
0	1	1	1	1	1	0	1	610	451	0.8367346938775511	0.739344262295082	0.7850304612706702
0	1	1	1	1	0	1	1	600	450	0.8348794063079777	0.75	0.7901668129938542
0	1	1	1	0	1	1	1	600	450	0.8348794063079777	0.75	0.7901668129938542
0	1	1	0	1	1	1	1	601	450	0.8348794063079777	0.7487520798668885	0.7894736842105263
0	1	0	1	1	1	1	1	600	450	0.8348794063079777	0.75	0.7901668129938542
0	0	1	1	1	1	1	1	605	452	0.8385899814471243	0.7471074380165289	0.7902097902097901
1	1	1	1	1	1	1	0	630	469	0.8701298701298701	0.7444444444444445	0.8023952095808383
1	1	1	1	1	1	0	1	602	451	0.8367346938775511	0.7491694352159468	0.7905346187554776
1	1	1	1	1	0	1	1	598	450	0.8348794063079777	0.7525083612040134	0.79155672823219
1	1	1	1	0	1	1	1	598	450	0.8348794063079777	0.7525083612040134	0.79155672823219
1	1	1	0	1	1	1	1	599	450	0.8348794063079777	0.7512520868113522	0.7908611599297012
1	1	0	1	1	1	1	1	598	450	0.8348794063079777	0.7525083612040134	0.79155672823219
1	0	1	1	1	1	1	1	602	452	0.8385899814471243	0.7508305647840532	0.7922874671340929
0	1	1	1	1	1	1	1	600	450	0.8348794063079777	0.75	0.7901668129938542
1	1	1	1	1	1	1	1	598	450	0.8348794063079777	0.7525083612040134	0.79155672823219
